CHO,PYR,NIC,DPA,PNT,CRE
Staphylococcus,Mycobacterium,Mycobacterium,Streptococcus,Clostridioides,Lactiplantibacillus
Acinetobacter,Acinetobacter,Proteus,Ruminococcus,Streptococcus,Limosilactobacillus
Lactiplantibacillus,Veillonella,Coprococcus,Lactobacillus,Veillonella,Citrobacter
Escherichia,Klebsiella,Anaerococcus,Alistipes,Enterocloster,Faecalibacterium
Blautia,Proteus,Campylobacter,,Ruminococcus,Bacteroides
Streptococcus,Enterobacter,Eubacterium,,Clostridium,Escherichia
Enterocloster,Limosilactobacillus,Parvimonas,,Bifidobacterium,Blautia
Ruminococcus,Lactiplantibacillus,Lactococcus,,Limosilactobacillus,Enterocloster
Clostridium,Campylobacter,Clostridioides,,Faecalibacterium,Clostridium
Bifidobacterium,Rothia,Streptococcus,,Bacteroides,Bifidobacterium
Alistipes,Ligilactobacillus,Enterobacter,,Parabacteroides,Parabacteroides
Limosilactobacillus,Granulicatella,Lactiplantibacillus,,Acidaminococcus,Acidaminococcus
Faecalibacterium,Staphylococcus,Acinetobacter,,Akkermansia,Anaerotruncus
Bacteroides,Citrobacter,Granulicatella,,Roseburia,
Mycobacterium,Paraclostridium,Staphylococcus,,Mediterraneibacter,
Enterococcus,Kluyvera,Veillonella,,Lacticaseibacillus,
Lactobacillus,Streptococcus,Citrobacter,,,
Phocaeicola,Escherichia,Rothia,,,
Roseburia,Clostridioides,Limosilactobacillus,,,
Eubacterium,Bacteroides,Paraclostridium,,,
Ligilactobacillus,Haemophilus,Kluyvera,,,
Coprococcus,Bifidobacterium,Pediococcus,,,
,Enterococcus,Escherichia,,,
,Phocaeicola,Klebsiella,,,
,Clostridium,Enterococcus,,,
,Morganella,Morganella,,,
,Lactobacillus,Bifidobacterium,,,
,Parabacteroides,Lactobacillus,,,
,Lacticaseibacillus,Lacticaseibacillus,,,
,Ruminococcus,Clostridium,,,
,Marvinbryantia,Fusobacterium,,,
,Dorea,Prevotella,,,
,Eubacterium,Lachnospira,,,
,Acidaminococcus,Faecalibacterium,,,
,Alistipes,Dorea,,,
,Blautia,Agathobaculum,,,
,Parasutterella,Enterocloster,,,
,Gordonibacter,Blautia,,,
,Adlercreutzia,Bacteroides,,,
,Anaerobutyricum,Mediterraneibacter,,,
,Sutterella,Marvinbryantia,,,
,,Butyrivibrio,,,
,,Anaerobutyricum,,,
,,Dialister,,,
,,Sutterella,,,
,,Adlercreutzia,,,
,,Haemophilus,,,
