"","selected_x"
"g__Escherichia",1
"g__Veillonella",1
"g__Bacteroides",1
"g__Phocaeicola",1
"g__Erysipelatoclostridium",1
"g__Anaerostipes",1
"g__Gemmiger",1
"g__CAJFUR01",1
"g__UMGS1975",1
"g__Bifidobacterium",1
"g__Faecalibacterium",1
"g__Faecalimonas",1
"g__Alistipes",1
"g__Enterococcus",1
"g__Lactobacillus",1
"g__Pullichristensenella",1
"g__Lactiplantibacillus",1
"g__Alangreenwoodia",1
"g__Limosilactobacillus",1
"g__Streptococcus",1
"g__Evtepia",1
"g__Parvimonas",1
"g__Clostridium",1
"g__Proteus",1
"g__Enterocloster",1
"g__Staphylococcus",1
"g__Enterobacter",1
"g__Blautia",1
"g__Klebsiella",1
"g__Adlercreutzia",1
"g__Citrobacter",1
"g__Kluyvera",1
"g__Agathobacter",1
"g__Pediococcus",1
"g__Niameybacter",1
"g__Anaeroglobus",1
"g__Ruminococcus",1
"g__Cetobacterium",1
"g__Campylobacter",1
"g__Morganella",1
"g__Alectryocaccomicrobium",1
"g__Faecivicinus",1
"g__Avichristensenella",1
"g__Woodwardibium",1
"g__Paraclostridium",1
"g__Scybalosoma",1
"g__Allisonella",1
"g__Mesosutterella",1
"g__SFDB01",1
"g__Scatacola",1
