"","selected_y"
"2-hydroxyhexadecanoate",1
"carnosol",1
"lithocholic acid",1
"chenodeoxycholate",1
"deoxycholic acid",1
"cholate",1
"glycolithocholic acid",1
"glycoursodeoxycholic acid",1
"taurohyodeoxycholate/ tauroursodeoxycholate",1
"urobilin",1
"linoleoyl ethanolamide",1
"cholestenone",1
"C22:5 CE",1
"C22:4 CE",1
"C22:4 CE*",1
"C36:5 PC plasmalogen-A",1
"C36:2 PC plasmalogen",1
"C49:1 TAG",1
"C52:4 TAG*",1
"C54:9 TAG",1
"C54:6 TAG*",1
"C54:5 TAG*",1
"C54:4 TAG*",1
"C54:3 TAG*",1
"C58:7 TAG",1
"valine",1
"taurine",1
"leucine",1
"hydrocinnamic acid",1
"guanine",1
"3-methyladipate-pimelate",1
"phenylalanine",1
"cystine",1
"pentadecanoate",1
"glycocholate",1
"choline",1
"creatinine",1
"N-acetylputrescine",1
"creatine",1
"C2 carnitine",1
"C4 carnitine",1
"C3-DC-CH3 carnitine",1
"5alpha-cholestanol",1
"C14 carnitine",1
"C16 carnitine",1
"C18:2 carnitine",1
"C20:4 carnitine",1
"C16:1 LPC plasmalogen*",1
"C18:1 LPC plasmalogen*",1
"urobilin*",1
